Quary,Answer
年度智能化设备及工业软件等有效投入500万元以上的“智能化改造数字化转型”项目的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,智改数转其支持政策的具体内容是2022年、2023年、2024年分别按照项目年度投资额的12%、11%、10%给予补助，单个项目最高不超过500万元。"
年度设备投资额300万元以上的创新型中小企业、省级专精特新中小企业及国家级专精特新“小巨人”企业的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,智改数转其支持政策的具体内容是给予20万元一次性奖励"
新能源汽车及核心零部件、新能源、新一代信息技术、新材料、大健康产业和数字经济、海洋经济产业及23条重点产业链新招引项目的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,新招引产业项目其支持政策的具体内容是各地结合招商引资政策兑现奖励"
列入年度重点工业新增长点培育计划，且上年度企业增加值率不低于全市平均水平50%的制造业企业的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,工业新增长点培育其支持政策的具体内容是按年度新增应税开票销售10亿元以上、5亿元-10亿元、3亿元-5亿元，分别给予100万元、50万元、30万元奖励"
首次入选“中国企业500强”(中企联发布)的工业企业的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,优质企业集群培育其支持政策的具体内容是给予300万元一次性奖励"
首次入选“中国制造业企业500强”(中企联发布)、“中国民营企业500强”(全国工商联发布)的工业企业的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,优质企业集群培育其支持政策的具体内容是给予100万元一次性奖励"
年度应税开票销售首次达到500亿元、200亿元、100亿元、50亿元以上，且上年度企业增加值率不低于全市平均水平50%的工业企业的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,优质企业集群培育其支持政策的具体内容是分别给予500万元、200万元、100万元、50万元一次性奖励"
当年新增入库的规上工业企业、数字经济企业的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,优质企业集群培育其支持政策的具体内容是每家企业奖励5万元或按照企业当年对地方贡献增量部分50%给予奖补，最高不超过10万元。"
首次列入工信部光伏制造行业、锂电池行业、印刷电路板行业、钢铁行业、环保装备制造行业公告名单的企业的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,规范认证项目其支持政策的具体内容是给予50万元一次性奖励"
获得氢燃料电池汽车生产资质的车辆生产企业(进入工信部《道路机动车辆生产企业及产品公告》)的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,规范认证项目其支持政策的具体内容是给予500万元一次性奖励"
鼓励国内优质上市企业、大企业集团、单项冠军、专精特新“小巨人”企业、独角兽企业、瞪羚企业等在盐城迁入综合型总部或设立具有独立法人资格的销售、供应链、研发职能型总部，的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,总部迁入发展其支持政策的具体内容是当年起连续三年按照对地方贡献增加部分(上年度超过前两年度均值部分)的30%、20%、10%进行奖励，最高不超过500万元"
支持企业与世界500强、中国企业500强、中国制造业企业500强、中国民营企业500强、央企、上市公司战略重组的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,企业兼并重组其支持政策的具体内容是并购企业对目标企业的实际出资额折合人民币5000万元以上，且并购方占股比例在50%以上，对兼并重组后的企业按实际出资额的4%给予一次性奖励，最高不超过企业申报年度对地方贡献，且不超过500万元。"
鼓励市内企业兼并重组的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,企业兼并重组其支持政策的具体内容是并购企业对目标企业的实际出资额折合人民币2000万元以上，且并购方占股比例在50%以上，对兼并重组后的企业按实际出资额的2%给予一次性奖励，最高不超过企业申报年度对地方贡献，且不超过200万元"
首次获得全国制造业单项冠军示范企业(产品)、国家级专精特新“小巨人”企业、省级专精特新中小企业的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,企业创新发展其支持政策的具体内容是分别给予100万元、100万元、30万元一次性奖励"
首次获得国家技术创新示范企业的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,企业创新发展其支持政策的具体内容是给予50万元一次性奖励"
首次获得国家、省级企业技术中心认定的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,企业创新发展其支持政策的具体内容是分别给予100万元、20万元一次性奖励"
首次获得省级首台(套)重大装备的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,企业创新发展其支持政策的具体内容是给予50万元一次性奖励"
首次获得省级首台(套)关键部件认定的项目的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,企业创新发展其支持政策的具体内容是给予20万元一次性奖励"
对国家、省批复建设的制造业创新中心的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,企业创新发展其支持政策的具体内容是分别给予500万元、200万元一次性奖励"
重点产业链企业采购本市产业链上游生产企业产品进行再加工生产，且年度本地采购额5000万元以上的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,产业链配套协作其支持政策的具体内容是按本地采购额比上年新增部分的2%给予采购单位奖补，最高不超过200万元"
开展“盐创新品”系列活动，发布《创新产品应用示范推荐目录》，支持生产企业对产品首张订单进行投保的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,企业推广应用新产品其支持政策的具体内容是市财政按投保年度实际支付保费的80%进行补贴"
支持企业采购创新产品打造应用场景的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,企业推广应用新产品其支持政策的具体内容是对列入优秀示范应用场景的项目按照评价结果，分别给予100万、80万、50万元的奖励"
对获省级以上认定的公共服务机构，年度开展专项服务活动10场(次)以上，且服务企业500家以上；其中提供融资服务的机构开展融资对接服务活动不少于5场次，年度帮助企业融资总额超过2亿元的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,公共服务能力提升其支持政策的具体内容是根据第三方服务绩效评估，给予不超过20万元奖励。"
对首次获得国家级中小企业，公共服务平台、国家级中小企业创业创新示范基地的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,公共服务能力提升其支持政策的具体内容是分别给予50万元一次性奖励"
对获得国家级表彰的公共服务项目的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,公共服务能力提升其支持政策的具体内容是给予20万元一次性奖励"
对首次获得省级公共服务平台的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,公共服务能力提升其支持政策的具体内容是给予20万元一次性奖励"
对首次获得国家级、省级服务型制造示范企业的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,服务型制造其支持政策的具体内容是分别给予50万元、20万元一次性奖励"
对首次获得国家级、省级工业设计中心的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,服务型制造其支持政策的具体内容是分别给予50万元、20万元一次性奖励"
对获得工信部、省工信厅举办的工业设计大赛最高奖项的企业的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,服务型制造其支持政策的具体内容是分别给予50万元、20万元一次性奖励"
对传统燃油车生产企业新研发上市的车型，首个年度销售达5万辆的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,新车型研发销售其支持政策的具体内容是给予500万元一次性奖励(上市月度起单月平均销售5000台以上，按比例折算给予一次性奖励)"
新能源乘用车新上市车型，年度销售2000辆以上的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,新车型研发销售其支持政策的具体内容是给予300万元一次性奖励"
年度销售1万辆以上的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,新车型研发销售其支持政策的具体内容是给予1000万元一次性奖励"
在盐城市区举办的工业和信息化领域全国性峰会、博览会、展览会、行业发展等活动，的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,新车型研发销售其支持政策的具体内容是按照国家级活动费用总额的30%，由市级财政给予承办单位一次性不超过50万元的补贴(市财政资金包干的不享受)"
支持企业参加省、市工业和信息化部门组织的重要展会活动的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,新车型研发销售其支持政策的具体内容是给予参展企业展位费60%不超过5万元补贴"
通过政府购买服务等方式，为规上企业开展免费诊断服务，每家不高于10万元。的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,免费诊断和轻量级改造其支持政策的具体内容是对纳入轻量级数字化改造试点的企业，按照必选应用场景总投入的70%、个性化改造场景投入的20%给予补助，单个企业不超过30万元；后续推广企业按照总投入的20%给予补助，最高不超过20万元。"
2022年、2023年、2024年分别按照“智改数转”项目贷款额的1.2%、1.1%、1%给予贴息，最高不超过200万元的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,设立贷款贴息补助其支持政策的具体内容是对纳入轻量级数字化改造试点的企业，按照必选应用场景总投入的70%、个性化改造场景投入的20%给予补助，单个企业不超过30万元；后续推广企业按照总投入的20%给予补助，最高不超过20万元。"
建成国家级智能制造示范工厂、工业互联网试点示范、制造业与互联网融合发展示范试点的企业的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,标杆企业培育其支持政策的具体内容是给予100万元一次性奖励"
首次获评省级“智改数转”领军服务商的企业的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,标杆企业培育其支持政策的具体内容是给予100万元一次性奖励"
建成省级工业互联网平台、工业互联网标杆工厂和智能制造示范工厂的企业的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,标杆企业培育其支持政策的具体内容是给予50万元一次性奖励"
首次获得省级示范智能车间的项目的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,标杆企业培育其支持政策的具体内容是给予20万元一次性奖励"
标识解析二级节点项目，支持标识解析二级节点项目，对首次申报完成与国家顶级节点对接，且近2年累计标识解析量达到1亿、接入企业数达到300家的二级节点建设单位的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,工业互联网发展其支持政策的具体内容是给予300万元一次性奖励"
首次被评为省五星上云企业的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,工业互联网发展其支持政策的具体内容是给予50万元一次性奖励"
支持电信运营商新建5G基站(宏站)，年内建成500个以上的的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,工业互联网发展其支持政策的具体内容是按照市区范围内每个基站2500元奖励"
年内建成1000个以上的，的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,工业互联网发展其支持政策的具体内容是按照市区范围内每个基站3000元奖励，每个运营商年度奖励不超过500万元"
首次应税开票销售达到1亿元、5000万元、3000万元、1000万元的大数据企业的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,数字产业企业能级提升其支持政策的具体内容是分别给予100万元、50万元、30万元、20万元的一次性奖励"
对获得省“i创杯”互联网创新创业大赛三等奖及以上的企业的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,数字产业企业能级提升其支持政策的具体内容是给予20万元一次性奖励"
对首次入选互联网年度产品、企业，互联网大数据类优秀产品和应用解决方案的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,数字产业企业能级提升其支持政策的具体内容是分别给予20万元一次性奖励"
对年度设备投资额200万元以上，节能量不少于300吨标煤的绿色化改造升级项目，的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,节能降耗项目其支持政策的具体内容是按实际设备投资额的10%给予一次性奖励，最高不超过200万元"
对首次被工信部认定为绿色供应链管理示范企业、绿色工厂、绿色产品的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,节能降耗项目其支持政策的具体内容是分别给予50万元、40万元、30万元一次性奖励"
对首次被省工信厅认定为绿色工厂的项目。,"盐城市的支持政策发布时间是2023年3月24日。其政策名称是《盐城市先进制造业发展办法》其项目中,节能降耗项目其支持政策的具体内容是给予30万元一次性奖励"
工业互联网平台、工业互联网标杆工厂及智能工厂的项目,扬州市的支持政策发布时间是2023年8月1日（更新时间：2023年8月1日）。其政策名称是《江苏省制造业智能化改造和数字化转型三年行动计划(2022-2024年)》《扬州市关于加快推进制造业智能化改造和数字化转型的实施意见》《扬州市“十四五”工业经济高质量发展规划》，其支持政策的具体内容是新获批省级工业互联网平台、工业互联网标杆工厂及智能工厂的企业，分别给予最高100万元的奖励。镇江市的支持政策发布时间是2022年3月29日。其政策名称是关于支持制造业智能化改造和数字化转型的若干政策措施，其支持政策的具体内容是对获评省级工业互联网平台、工业互联网标杆工厂的企业给予20万元的奖励。
省首台（套）重大装备认定及推广的项目,扬州市的支持政策发布时间是2023年8月1日（更新时间：2023年8月1日）。其政策名称是《江苏省制造业智能化改造和数字化转型三年行动计划(2022-2024年)》《扬州市关于加快推进制造业智能化改造和数字化转型的实施意见》《扬州市“十四五”工业经济高质量发展规划》，其支持政策的具体内容是对列入国家、省首台(套)重大装备认定及推广应用指导目录的产品，按照不高于年产品销售收入的10%给予补助，最高200万元。
工业互联网建设的项目,扬州市的支持政策发布时间是2022年2月24日，有效期3年。其政策名称是《关于加快推进制造业智能化改造和数字化转型的实施意见》，其支持政策的具体内容是省级及以上工业互联网平台，按照不高于年平台投入的13%给予补助，最高500万元。扬州市的支持政策发布时间是2023年8月1日（更新时间：2023年8月1日）。其政策名称是《江苏省制造业智能化改造和数字化转型三年行动计划(2022-2024年)》《扬州市关于加快推进制造业智能化改造和数字化转型的实施意见》《扬州市“十四五”工业经济高质量发展规划》，其支持政策的具体内容是省级及以上工业互联网平台，按照不高于年平台投入的13%给予补助，最高500万元。扬州市的支持政策发布时间是2022年8月24日。其政策名称是《2022年度市级智能化改造和数字化转型专项资金项目申报指南》，其支持政策的具体内容是1、省级（(含）以上重点工业互联网平台;2、2021年度平台总投入不低于200万元(不含税)，包括:服务器、防火墙、交换机、信息安全设备，与平台连接的设备、传感器、网关，软件和技术服务费用。以上按照不高于2021年度平台投入的13%给予补助，最高不超过500万元。
智能装备研制推广的项目,扬州市的支持政策发布时间是2022年8月24日。其政策名称是《2022年度市级智能化改造和数字化转型专项资金项目申报指南》，其支持政策的具体内容是1、产品列入2021年度省首台（套)重大装备认定、推广应用指导目录;2、2021年度企业研发费用不低于300万元(不含税)，且首台(套）重大装备销售额不低于300万元（不含税)。以上按照不高于该首台(套）重大装备2021年度销售金额的10%进行奖补，最高不超过200万元。
智能工厂、标杆工厂的项目,扬州市的支持政策发布时间是2022年8月24日。其政策名称是《2022年度市级智能化改造和数字化转型专项资金项目申报指南》，其支持政策的具体内容是1、2021年度获批国家智能制造、工业互联网、新─代信息技术与制造业融合发展、省级工业互联网标杆工厂、智能工厂的企业;2、2021年度企业设备及软件投入不低于500万元(不含税)。以上按照不高于2021年度投入的10%给予补助，获批国家级的最高不超过200万元，获批省级的最高不超过100万元。
领军服务商培育的项目,扬州市的支持政策发布时间是2022年8月24日。其政策名称是《2022年度市级智能化改造和数字化转型专项资金项目申报指南》，其支持政策的具体内容是2021年度获批省级智能制造领军服务机构;2、2021年度对外承接的项目金额不低于1000万元(不含税)。按照不高于承接项目金额的2%给予奖励，最高不超过50万元。
园区数字化转型的项目,扬州市的支持政策发布时间是2022年8月24日。其政策名称是《2022年度市级智能化改造和数字化转型专项资金项目申报指南》，其支持政策的具体内容是2021年度在网络部署、公共云平台建设、数据采集等数字化改造方面的设备和软件投入不低于300万元(不含税)，按照不高于2021年度投入总额的15%给予补助，最高不超过200万元。
“双跨”平台的项目,镇江市的支持政策发布时间是2022年3月29日。其政策名称是关于支持制造业智能化改造和数字化转型的若干政策措施，其支持政策的具体内容是对获评国家级“双跨”平台给予100万元奖励，省级给予50万元奖励。
